X,Y,Z
3.530335,3.287486,-48.809
3.6010429999999998,3.015132,-48.809
3.702657, 2.8220870000000002,-48.809
3.7874450000000004,2.719596,-48.809
3.8672580000000005, 2.6526240000000003,-48.809
3.965164,2.61699,-48.809
4.260833,2.61699,-48.809
4.39972,2.645253,-48.809
4.609703,2.750454,-48.809
4.681431,2.800453,-48.809
4.837445000000001,2.961298,-48.809
4.907779,3.080231,-48.809
4.963768, 3.2409570000000003,-48.809
5.085458,3.651739,-48.809
5.097909,3.73727,-48.809
5.097909,3.958209,-48.809
5.078622,4.231243,-48.809
5.053721,4.310569,-48.809
5.032264, 4.5704210000000005,-48.809
4.979226, 4.690742999999999,-48.809
4.81856,4.862616,-48.809
4.717846, 4.929028000000001,-48.809
4.594138, 4.9736020000000005,-48.809
4.3628540000000005,4.975385,-48.809
4.271065999999999,4.943188,-48.809
4.125041,4.852042,-48.809
3.8974539999999998,4.6705,-48.809
3.7137990000000003,4.475089,-48.809
3.6617040000000003, 4.3848590000000005,-48.809
3.6283540000000003, 4.258153999999999,-48.809
3.5654580000000005,4.13896,-48.809
3.526522,3.876221,-48.809
4.035041,2.733822,-48.509
3.984071,2.763152,-48.509
3.9350409999999996,2.794134,-48.509
3.8363570000000005,2.863152,-48.509
3.8350409999999995,2.864315,-48.509
3.735041,2.937023,-48.509
3.701292,2.963152,-48.509
3.6350409999999997,3.009106,-48.509
3.545138, 3.0631519999999997,-48.509
3.5350409999999997,3.071355,-48.509
3.4350409999999996,3.120444,-48.509
3.365155, 3.1631519999999997,-48.509
3.3377980000000003, 3.2631520000000003,-48.509
3.3741329999999996, 3.3631520000000004,-48.509
3.4098820000000005,3.463152,-48.509
3.4350409999999996,3.501502,-48.509
3.468818,3.563152,-48.509
3.5100409999999997,3.663152,-48.509
3.5350409999999997, 3.7083649999999997,-48.509
3.565335, 3.7631520000000003,-48.509
3.6162520000000002, 3.8631520000000004,-48.509
3.6350409999999997,3.890467,-48.509
3.679898,3.963152,-48.509
3.728107, 4.0631520000000005,-48.509
3.735041,4.073592,-48.509
3.787285,4.163152,-48.509
3.8350409999999995,4.24686,-48.509
3.8456249999999996,4.263152,-48.509
3.89693,4.363152,-48.509
3.9350409999999996,4.411813,-48.509
3.974697,4.463152,-48.509
4.035041, 4.533151999999999,-48.509
4.0620199999999995, 4.5631520000000005,-48.509
4.135040999999999,4.635652,-48.509
4.1644309999999995,4.663152,-48.509
4.235041,4.719555,-48.509
4.295635,4.763152,-48.509
4.3350409999999995,4.790667,-48.509
4.435041, 4.8131520000000005,-48.509
4.535041,4.815572,-48.509
4.635040999999999,4.796768,-48.509
4.694542,4.763152,-48.509
4.735041, 4.738754999999999,-48.509
4.818708,4.663152,-48.509
4.8350409999999995,4.642564,-48.509
4.886681, 4.5631520000000005,-48.509
4.926768,4.463152,-48.509
4.935041,4.447399,-48.509
4.967581,4.363152,-48.509
4.985041,4.263152,-48.509
5.0058750000000005,4.163152,-48.509
5.02483, 4.0631520000000005,-48.509
5.035041,3.994104,-48.509
5.039892,3.963152,-48.509
5.04265, 3.8631520000000004,-48.509
5.041290999999999, 3.7631520000000003,-48.509
5.035041, 3.7184150000000002,-48.509
5.027433,3.663152,-48.509
5.010934000000001,3.563152,-48.509
4.997237,3.463152,-48.509
4.9877270000000005, 3.3631520000000004,-48.509
4.979365, 3.2631520000000003,-48.509
4.964986, 3.1631519999999997,-48.509
4.935041,3.070779,-48.509
4.931632, 3.0631519999999997,-48.509
4.89567,2.963152,-48.509
4.860041,2.863152,-48.509
4.8350409999999995,2.835007,-48.509
4.758633,2.763152,-48.509
4.735041,2.742345,-48.509
4.635040999999999,2.712482,-48.509
4.535041,2.69348,-48.509
4.435041,2.672081,-48.509
4.3350409999999995,2.672727,-48.509
4.235041, 2.6877079999999998,-48.509
4.135040999999999,2.709105,-48.509
3.269088, 3.5056040000000004,-48.209
3.686369,3.795618,-48.209
3.8189660000000005,3.908401,-48.209
3.845159, 3.9535310000000004,-48.209
3.974236, 4.0716090000000005,-48.209
4.0415,4.218354,-48.209
4.152314,4.36158,-48.209
4.214593,4.489819,-48.209
4.305921,4.582761,-48.209
4.423185,4.655233,-48.209
4.526247,4.670517,-48.209
4.6750929999999995, 4.6262419999999995,-48.209
4.7530470000000005,4.557116,-48.209
4.874557,4.35275,-48.209
4.888745,4.281776,-48.209
4.960788,4.128138,-48.209
4.979996,3.950338,-48.209
4.980075,3.192288,-48.209
4.952895,2.900547,-48.209
4.910424, 2.8066199999999997,-48.209
4.843452,2.726806,-48.209
4.753222,2.674712,-48.209
4.650616, 2.6566199999999998,-48.209
4.4325220000000005, 2.6690709999999997,-48.209
4.213417, 2.7550619999999997,-48.209
4.074819,2.84464,-48.209
4.008385,2.923686,-48.209
3.909854,2.941691,-48.209
3.8432139999999997,2.995488,-48.209
3.745309,3.031123,-48.209
3.6048389999999997,3.035681,-48.209
3.5022329999999995,3.017588,-48.209
3.412003,2.965494,-48.209
3.351609,2.895076,-48.209
3.257114,2.920395,-48.209
3.171768,2.980156,-48.209
3.094122,3.114642,-48.209
3.085041, 3.2184350000000004,-48.209
3.138154,3.364361,-48.209
4.735041,2.556902,-47.909
4.719301, 2.5631519999999997,-47.909
4.635040999999999,2.589453,-47.909
4.535041,2.6227,-47.909
4.44658, 2.6631519999999997,-47.909
4.435041, 2.6707609999999997,-47.909
4.3350409999999995,2.734381,-47.909
4.291764,2.763152,-47.909
4.235041,2.799837,-47.909
4.161771,2.863152,-47.909
4.135040999999999,2.890222,-47.909
4.064362,2.963152,-47.909
4.035041,2.990295,-47.909
3.9350409999999996,3.020844,-47.909
3.864529, 3.0631519999999997,-47.909
3.8350409999999995,3.084448,-47.909
3.735041,3.103573,-47.909
3.6350409999999997,3.115943,-47.909
3.5350409999999997,3.127327,-47.909
3.4350409999999996,3.128759,-47.909
3.3350409999999995,3.135501,-47.909
3.3082030000000002, 3.1631519999999997,-47.909
3.2939920000000003, 3.2631520000000003,-47.909
3.328791, 3.3631520000000004,-47.909
3.3350409999999995,3.372006,-47.909
3.3839239999999995,3.463152,-47.909
3.4350409999999996, 3.5314360000000002,-47.909
3.4601889999999997,3.563152,-47.909
3.5331180000000004,3.663152,-47.909
3.5350409999999997, 3.6650750000000003,-47.909
3.6350409999999997,3.744362,-47.909
3.65484, 3.7631520000000003,-47.909
3.735041,3.829912,-47.909
3.770458, 3.8631520000000004,-47.909
3.8350409999999995, 3.9255079999999998,-47.909
3.872257,3.963152,-47.909
3.9350409999999996,4.024541,-47.909
3.972813, 4.0631520000000005,-47.909
4.033118,4.163152,-47.909
4.035041,4.165075,-47.909
4.110041,4.263152,-47.909
4.135040999999999,4.289715,-47.909
